date,waterbody,site,depth,field_dups,lab_reps,variable,units,value,notes
2021-11-04,shubael,2,int,NA,2,phyco,µg/L,0.4125360871472556,NA
2021-11-04,shubael,3,int,NA,1,phyco,µg/L,0.3579853625902324,NA
2021-11-04,shubael,3,int,NA,2,phyco,µg/L,0.39812987370070474,NA
2021-11-04,shubael,4,int,NA,1,phyco,µg/L,0.3453874604549641,NA
2021-11-04,shubael,4,int,NA,2,phyco,µg/L,0.33761172181644916,NA
2021-11-04,shubael,B,int,NA,1,phyco,µg/L,0.27438110296526996,NA
2021-11-04,shubael,B,int,NA,2,phyco,µg/L,0.2432781484112103,NA
2021-11-04,shubael,B,int,NA,3,phyco,µg/L,0.2730550080036628,NA
2021-05-13,hamblin,1,int,NA,1,ext_chla,rfu,7.2616,NA
2021-05-13,hamblin,1,int,NA,2,ext_chla,rfu,7.544,NA
2021-05-13,shubael,1,int,NA,1,ext_chla,rfu,3.737,NA
2021-05-13,shubael,1,int,NA,2,ext_chla,rfu,2.1046,NA
2021-06-28,hamblin,1,int,NA,1,ext_chla,rfu,9.0434,NA
2021-06-28,hamblin,1,int,NA,2,ext_chla,rfu,9.4014,NA
2021-06-28,hamblin,2,int,NA,1,ext_chla,rfu,9.2034,NA
2021-06-28,hamblin,2,int,NA,2,ext_chla,rfu,9.3414,NA
2021-06-28,hamblin,3,int,NA,1,ext_chla,rfu,10.2754,NA
2021-06-28,hamblin,3,int,NA,2,ext_chla,rfu,9.6066,NA
2021-06-28,hamblin,4,int,NA,1,ext_chla,rfu,9.2274,NA
2021-06-28,hamblin,4,int,NA,2,ext_chla,rfu,9.0658,NA
2021-06-28,hamblin,b,int,NA,1,ext_chla,rfu,9.545,NA
